ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
51,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT4,04-MED,,SL,,51,,14G,Photography [Single Photos],Portrait,Rio 2016: Water Polo,Jay Clendenin,Photographer,George Wilhelm,Director of Photography,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MED-MST1,04-MED,,SL,,40,,04E,Breaking News Topics,Obituaries,Purple Majesty,Greg Mees,Lead News Designer,Brandon Ferrill,Designer,Michiela Thuman,News Design Director,Derek Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,07-FEA,MED-MST1,04-MED,,SL,,40,,07Ia,Features Design [Pages],"A&E Cover Story/Broadsheet 175,000 and over",Prince,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,08-VISUAL,MED-MST1,04-MED,,SL,,40,,13Fa,Illustration,Portrait or Caricature/Color,Prince,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,08-VISUAL,MED-MST1,04-MED,,SL,,40,,13Fa,Illustration,Portrait or Caricature/Color,Prince,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,08-VISUAL,MED-MST1,04-MED,,SL,,40,,13I,Multiple Illustrations,,Prince,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MED-MST1,04-MED,,SL,,40,,03Aa,News Design [Pages],"A-Section/Broadsheet 175,000 and over",Purple Majesty,Greg Mees,Lead News Designer,Michiela Thuman,News Design Director,Derek  Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MED-MST1,04-MED,,SL,,40,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Purple Majesty,Greg Mees,Lead News Designer,Brandon Ferrill,Designer,Michiela Thuman,News Design Director,Derek Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MED-MST1,04-MED,,SL,,40,,03Ea,News Design [Pages],"Inside page/Broadsheet 175,000 and over",Always electrifying,Kim Maxwell Vu,Senior Designer,Greg Mees,Lead News Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,11-PORT,MED-MST1,04-MED,,SL,,40,,08Fa,Page Design [Staff Portfolio],"News 175,000 and over",Prince portfolio,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
