ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
427,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,189,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,Supreme Court Nominees Considered in Election Years are Usually Confirmed,Gregor Aisch,Graphics Editor,Josh Keller,Graphics Editor,K.K. Rebecca Lai,Graphics Editor,Karen Yourish,Graphics Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,189,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,"How Trump Reshaped the Electoral Map, 11/10 P10-11",Larry Buchanan,Graphics Editor,Ford Fessenden,Graphics Editor,Troy Griggs,Graphics Editor,Josh Keller,Graphics Editor,Haeyoun Park,Graphics Editor,Alicia Parlapiano,Graphics Editor,Adam Pearce,Graphics Editor,Tim Wallace,Graphics Editor,Josh Williams,Graphics Editor,Karen Yourish,Graphics Editor,,,,,,,,,,,,,,,,,,,
554,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,190,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,"How the Presidential Election Took a U-Turn in 2016, 11/10 P9",K.K. Rebecca Lai,Graphics Editor,Alicia Parlapiano,Graphics Editor,Karen Yourish,Graphics Editor,Alicia DeSantis,Graphics Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,190,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,A Detailed Political Geography of the US and What it Means for 2016,Larry Buchanan,Graphics Editor,Amanda Cox,The Upshot Editor,Alicia Parlapiano,Graphics Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,South China Morning Post,Hong Kong,,CHINA,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,188,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,Day of Infamy,Adolfo Arranz,Deputy Head of Graphics & Illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,Today,Singapore,,SINGAPORE,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,185,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,The Earth moves ... a lot,Adolfo Arranz,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,The,Washington Post,Washington,D.C.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,190,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,How terrorism in the West Compares with terrorism everywhere else,Lazaro Gamio,Graphics Assignment Editor,Tim Meko,Graphic Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,The,Washington Post,Washington,D.C.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,189,,16Bb,Information Graphics [Single],Nation & World/Non-Deadline,"How each state polled, in electoral votes",Chiqui Esteban,Deputy Graphics Director,Lazaro Gamio,Graphics Assignment Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,The,Denver Post,Denver,Colo.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-INFO,Anna B,,189,,16Ac,Information Graphics [Single],Sports/Deadline,"He thrilled, influenced the world",Severiano Galven,Graphic Artist,Matt Swaney,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,The,Boston Globe,Boston,Mass.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,181,,13I,Multiple Illustrations,,The issue of crime,Alex Kingsbury, Deputy Ideas Editor,Heather Hopp-Bruce,Ideas design supervisor,Alejo Porras,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,Crain’s Cleveland Business,Cleveland,Ohio,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,181,,13I,Multiple Illustrations,,Made of Money - Highest Paid Athletes,Rebecca R. Markovitz,Art Director,Charis Tsevis,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,182,,13I,Multiple Illustrations,,The Blur,Jonathan Bartlett,Illustrator,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,,Mundo Estranho,,,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,182,,13I,Multiple Illustrations,,Highs and Lows of the New Drugs,Pedro Henrique Ferreira,Illustrator,Bruna Sanches,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,,New York Times Magazine,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,183,,13I,Multiple Illustrations,,"On Technology 10/2, 10/30/ 6/26",Gail Bichler,Design Director,Matt Willey,Art Director,Jason Sfetko,Deputy Art Director,Adam Ferris,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,182,,13I,Multiple Illustrations,,Fall Arts Previews,Andrea Levy,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,The,Sunday,Las Vegas,Nev.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,181,,13I,Multiple Illustrations,,Won’t You Be My Neighbor,Travis Jackson,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,The,Sunday,Las Vegas,Nev.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,169,,13I,Multiple Illustrations,,Trump/Clinton Covers,Nigel Buchanan,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Die,Welt,D-10888 Berlin,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-ILLO,Anna B,,181,,13I,Multiple Illustrations,,The end of the end of the world,Ulf Poschardt,Editor-in-Chief,Oliver Michalsky,Deputy Editor-in-Chief,Juliane Schwarzenberg,Art Director,Katja Fischer,Illustrator,Jonathan Franzen,Author,Richard Kämmerlings,Editor-in-Charge,Wieland Freund,Editor,Marc Reichwein,Editor,,,,,,,,,,,,,,,,,,,,,,,
410,,San Francisco Chronicle,San Francisco,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,206,,15C,Photography [Multiple Photos],Individual Portfolio,Portfolio of Work/Individual,Russell Yip,"Photographer/Dep Dir of Photography
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,203,,15E,Photography [Multiple Photos],Photo Page Design,Bills and SWAT,Harry Scull Jr.,Photographer,Vince Chiaramonte,Design Director,Cathaleen Curtiss,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,202,,15E,Photography [Multiple Photos],Photo Page Design,It’s a Cowboy thing,Mark Mulville,Photographer,Leah Samol,Designer,Cathaleen Curtiss,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,203,,15E,Photography [Multiple Photos],Photo Page Design,Fireworks of foliage,Vince Chiaramonte,Design Director,Robert Kirkham,Photographer,Cathaleen Curtiss,Director/Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,China Daily,Beijing,,CHINA,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,205,,15E,Photography [Multiple Photos],Photo Page Design,New Photo Series Captures Life in China,Alex K. Fong,Assistant Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,Di Weekend,Stockholm, ,SWEDEN,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,202,,15E,Photography [Multiple Photos],Photo Page Design,"Sarah, fardiga, gå",Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,203,,15E,Photography [Multiple Photos],Photo Page Design,Travel: Your Scene,Jan Molen,Designer,Paul Gonzales,Deputy Design Director,Kathy Pyon,Photo Editor,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,The,Mercury News,San Jose,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,205,,15E,Photography [Multiple Photos],Photo Page Design,Where We Live: Catching Waves,Aric Crabb,Photographer,Daymond Gascon,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,National Post,Toronto,Ont.,CANADA,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,201,,15E,Photography [Multiple Photos],Photo Page Design,Wonder,Becky Guthrie,Assoc. Features Art Director,Geneviéve Biloski,Features Design Director,Dustin Parkes,Arts & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,Welt am Sonntag,Berlin,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,202,,15E,Photography [Multiple Photos],Photo Page Design,Another setback is to come eventually,Stefan Aust,Editor-in-Chief,Beat Balzli,Deputy Editor-in-Chief,Maud Radtke,Art Director,Anika Grebe,Page Designer,Simone Nauendorf,Page Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,Welt am Sonntag,Berlin,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,201,,15E,Photography [Multiple Photos],Photo Page Design,Freud is alive!,Stefan Aust,Editor-in-Chief,Beat Balzli,Deputy Editor-in-Chief,Maud Radtke,Art Director,Yvonne Budig,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Die,Zeit,Hamburg,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,205,,15E,Photography [Multiple Photos],Photo Page Design,Justos Werk,Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,Chicago Tribune,Chicago,Ill.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,206,,15A,Photography [Multiple Photos],Single-Day Photo Series,Player posters featuring photos taken by Armando L Sanchez of the Chicago Cubs,Armando Sanchez,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,206,,15A,Photography [Multiple Photos],Single-Day Photo Series,Day-to-night,Stephen Wilkes,Photographer,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,198,,15A,Photography [Multiple Photos],Single-Day Photo Series,"Twice Scrutinized by F.B.I., Orlando Killer Exposes Gaps in Fighting ISIS-Inspired Acts, 6/14 A1, 18-19 ",Tom Bodkin,Creative Director,Amy Kelsey,Designer,Kara Sheehan,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,202,,15A,Photography [Multiple Photos],Single-Day Photo Series,"Torment in Venezuela, 10/2 A1, A14-15",Meridith Kohut,Photographer,Lee Yarosh,Designer,Fred Bierman,Designer,David Furst,Picture Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,San Francisco Chronicle,San Francisco,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,204,,15A,Photography [Multiple Photos],Single-Day Photo Series,A Season Full of Highs - Add One Huge Low,Michael Macor,Photographer,Leah Millis,Photographer,Carlos Avila Gonzalez,Photographer,Scott Strazzante,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,San Francisco Chronicle,San Francisco,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,206,,15A,Photography [Multiple Photos],Single-Day Photo Series,Poetic License/Fashion Spread,Russell Yip,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,Stuttgarter Zeitung,D-70567 Stuttgart,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,204,,15A,Photography [Multiple Photos],Single-Day Photo Series,Left side,Joachim Dorfs,Editor-in-Chief,Christoph Reisinger,Editor-in-Chief,Dirk Steininger,Art Director,Sebastian Klöpfer,Art Director,Eva Dähne,Art Director,Laura Hoß,Art Director,Tschiponnique Skupin,Photographer,Simone Drescher,Editor,Jörg Düsterwald,Artist,Uta Glauß,Page Design,,,,,,,,,,,,,,,,,,,
378,,Stuttgarter Zeitung,D-70567 Stuttgart,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,205,,15A,Photography [Multiple Photos],Single-Day Photo Series,left side,Joachim Dorfs,Editor-in-Chief,Christoph Reisinger,Editor-in-Chief,Dirk Steininger,Art Director,Sebastian Klöpfer,Art Director,Eva Dähne,Art Director,Laura Hoß,Art Director,Brock Elbank,Photographer,Simone Drescher,Editor,Anna-Lena Wawra,Page Design,Sebastian Ruckaberie,Page Design,,,,,,,,,,,,,,,,,,,
381,,Variety,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,206,,15A,Photography [Multiple Photos],Single-Day Photo Series,Actors on Actors - Ultimate Awards Nomination Guide,Chris Mihal,Creative Director,Chuck Kerr,Art Director,Cheyne Gateley,Art Director,Allison Cressey,Designer,Bailey Franklin,Director of Photography,Michelle Hauf,Photo Editor,Daniel Doperlski,Digital Art Director,Priscilla Rodriguez,Photo Coordinator,Art Streiber,Photographer,,,,,,,,,,,,,,,,,,,,,
220,The,Villages Daily Sun,The Villages,Fla.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,201,,15A,Photography [Multiple Photos],Single-Day Photo Series,VHS Preview,Louis Brems,Senior Photographer,Amy Correnti,Senior Photographer,Bill Mitchell,A.M.E./Photo,Adam Rogers,A.M.E./Design,Colin Smith,M.E./Innovation,Bonita Burton,Executive Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Die,Zeit,Hamburg,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,204,,15A,Photography [Multiple Photos],Single-Day Photo Series,2016 Lassen Wir’s Hinter Uns!,Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,204,,15D,Photography [Multiple Photos],Staff Portfolio,Staff portfolio,Barara Davidson,Photographer,Wally Skalli,Photographer,Genaro Molina,Photographer,Carolyn Cole,Photographer,Al Seib,Photographer,Marcus Yarn,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,Politiken,Copenhagen,,DENMARK,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,200,,15D,Photography [Multiple Photos],Staff Portfolio,Staff Portfolio Features,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,The,Denver Post,Denver,Colo.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,193,,14B,Photography [Single Photos],Breaking News,Won and a Million,RJ Sangosti,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,Folha de São Paulo,São Paulo,,BRAZIL,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,200,,14B,Photography [Single Photos],Breaking News,Murder in the Subway,Marlene Bergamo,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,Ming Pao Daily News,Chaiwan,,HONG KONG,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,199,,14B,Photography [Single Photos],Breaking News,Riots,Hoi Kin Fung,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,Ming Pao Daily News,Chaiwan,,HONG KONG,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,200,,14B,Photography [Single Photos],Breaking News,Earthquake,Pak Yin Yeung,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,The,News Tribune,Tacoma,Wash.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,199,,14B,Photography [Single Photos],Breaking News,Honor Guard salutes,Joshua Bessex,Staff Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Sun Sentinel,FORT LAUDERDALE,Fla.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,191,,14B,Photography [Single Photos],Breaking News,Bottom of page: “Shootings seemed like a daily occurrence in South Florida,Carline Jean,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,Sun Sentinel,FORT LAUDERDALE,Fla.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,201,,14B,Photography [Single Photos],Breaking News,Jose Fernandez,Carline Jean,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Die,Zeit,Hamburg,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,200,,14B,Photography [Single Photos],Breaking News,Grauer Schleier,Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,194,,14F,Photography [Single Photos],Features,Year in Review: High expectations for development,Mel Melcon,Photographer,Mary Cooney,Director of Photography,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,195,,14F,Photography [Single Photos],Features,Remixing that 70s groove,Kirk McKoy,Photographer,Kathy Pvon,Photo Editor,Judith Pryor,Designer,Wes Bausmith,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Politiken,Copenhagen,,DENMARK,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,192,,14F,Photography [Single Photos],Features,Distortion Party,Miriam Dalsgaard,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Politiken,Copenhagen,,DENMARK,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,193,,14F,Photography [Single Photos],Features,Enjoying the kayak slide at the waterfront,Brian Berg,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Politiken,Copenhagen,,DENMARK,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,195,,14F,Photography [Single Photos],Features,January,Mie Brinkmann,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Bild am Sonntag,Berlin,,GERMANY,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,192,,14A,Photography [Single Photos],General News (planned),I sew your T-shirt 15 hours every day for 140 Euros a month,Saulo Santana,Art Director,Christian Spreitz,Photographer,Marion Horn,"Chief Editor
",Thomas Drechsler,Vice Chief Editor,Eva Bauer,Photo Editor,Yvonne Funcke,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,191,,14A,Photography [Single Photos],General News (planned),Girl on bus,Robert Kirkham,Photographer,Cathaleen Curtis,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,191,,14A,Photography [Single Photos],General News (planned),YIR: Hillary Clinton,Carolyn Cole,Photographer,Mary Cooney,Director of Photography,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,192,,14A,Photography [Single Photos],General News (planned),"Broken Men in Paradise, 12/11",Ashley Gilbertson,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Pittsburgh Post-Gazette,Pittsburgh,Pa.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,191,,14A,Photography [Single Photos],General News (planned),Donald Trump closes out Republican National Convention,Michael Henninger,Staff Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,196,,14B,Photography [Single Photos],News Feature,More Violence Hits Charlotte after Shooting,Logan R. Cyrus,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,199,,14C,Photography [Single Photos],News Feature,Heroin Tourists,Carolyn Cole,Photographer,Alan Hagman,Deputy Photo Editor,Kelli Sullivan,Deputy Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,199,,14C,Photography [Single Photos],News Feature,Ana Carolina in her kitchen,Katie Falkienberg,Photographer,Mary Cooney,Director of Photography,Kelli Sullivan,Deputy Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,198,,14C,Photography [Single Photos],News Feature,Landscape coated in snow,David Joles,Photographer,Deb Pastner,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,193,,14C,Photography [Single Photos],News Feature,"Old Cuba Poised At Edge of Change, 3/20",Tomas Munita,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,194,,14C,Photography [Single Photos],News Feature,"Living Brazil’s Dream,  Then Facing a Birth Defect and Poverty, 3/9",Mauricio Lima,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,200,,14C,Photography [Single Photos],News Feature,A Nation Mourns,Tomas Munita,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,197,,14C,Photography [Single Photos],News Feature,Parker Ganey sits on the ground as other pages play in the lockers,Sarah Hoffman,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Politiken,Copenhagen,,DENMARK,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,196,,14C,Photography [Single Photos],News Feature,Baby Swimming,Anders Rye,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Politiken,Copenhagen,,DENMARK,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,197,,14C,Photography [Single Photos],News Feature,Heart-shaped double lactation,Miriam Dalsgaard,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,The,Virginian-Pilot,Norfolk,Va.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,197,,14C,Photography [Single Photos],News Feature,A starry night puts on a display,Hyunsoo Leo Kim,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,195,,14G,Photography [Single Photos],Portrait,Calendar: Christian Bale,Jay Clendenin,Photographer,Hai Wells,Photo Editor,An Moonen,Designer,Steven Hawkins,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,195,,14G,Photography [Single Photos],Portrait,Calendar: Jamal Lewis,Brian Van der Brug,Photographer,Hai Wells,Photo Editor,Ross May,Designer,Steven Hawkins,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,196,,14G,Photography [Single Photos],Portrait,Travel: Harlem,Marcus Yam,Photographer,Ricardo DeAratanha,Director of Photography,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,194,,14G,Photography [Single Photos],Portrait,A toxic legacy,Chris Machian,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Svenska Dagbladet,Stockholm,,SWEDEN,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,Michael,,196,,14G,Photography [Single Photos],Portrait,Sara Broos,Staffan Lowstedt,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
